DATE,BAMLC0A0CMEY,BAMLC0A0CM
2022-06-01,4.68,1.64
2022-07-01,4.36,1.53
2022-08-01,4.82,1.48
2022-09-01,5.72,1.67
2022-10-01,5.98,1.66
2022-11-01,5.39,1.42
2022-12-01,5.49,1.38
2023-01-01,5.03,1.25
2023-02-01,5.56,1.30
2023-03-01,5.24,1.45
2023-04-01,5.15,1.41
2023-05-01,5.43,1.42
2023-06-01,5.55,1.30
2023-07-01,5.52,1.19
2023-08-01,5.66,1.22
2023-09-01,6.07,1.25
2023-10-01,6.37,1.32
2023-11-01,5.67,1.11
2023-12-01,5.14,1.04
2024-01-01,5.16,1.02
2024-02-01,5.46,1.00
2024-03-01,5.36,0.94
2024-04-01,5.69,0.92
